mint,authority,symbol,program
MAPS41MDahZ9QdKXhVa4dWB9RuyfV4XqhyAZ8XcYepb,EKPyGs2CbDr19xB9Px7CKMX71octTjtkRXZpuJLfTxEk,MAPS,spl-token
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,BJE5MMbqXjVwjAF7oxwPYXnTXDyspzZyt4vwenNw5ruG,USDC,spl-token
5FJeEJR8576YxXFdGRAu4NBBFcyfmtjsZrXHSsnzNPdS,7nSuLyEgiLXSYUSVizem6Z5qkvu5gSrRPM222WJy8Wj6,SMB OG,spl-token
PUPS8ZgJ5po4UmNDfqtDMCPP6M1KP3EEzG9Zufcwzrg,3ifLk3G311kSwnA62vYyxocgsLm4h15d1A4MN5C8AcUU,PUPS,spl-token
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,Q6XprfkF8RQQKoQVG33xT88H7wi8Uk1B1CC7YAs69Gi,USDT,spl-token
9McvH6w97oewLmPxqQEoHUAv3u5iYMyQ9AeZZhguYf1T,5AAcqakSbTFjXhRDfrczyn1Gz12EcKPkrJZHgfEANprv,Anon,spl-token
AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,STEPNwUmvdCWRm4yzH4rtCuPUeKuEapFvFKHKteiGH5,GST,spl-token
F2R8B8ZjVvEK4JScEWofXp8d2EGgim9BjTt3s2vqkDTJ,3QXUkUcaxjSrsHKNFgY2z6KqmnzHNkaML8RdVduK5W4Z,TEQOLD,spl-token
5at84pF6nmC9ze2RdUWNTfAHghEAqLoAeTEk9zAHkrJy,Gs2HiBDyUgaU39hefv5AVeFB6ZB5HXCcxvbjuwsmcanc,COSITA,spl-token
PRVT6TB7uss3FrUd2D9xs2zqDBsa3GbMJMwCQsgmeta,6VsC8PuKkXm5xo54c2vbrAaSfQipkpGHqNuKTxXFySx6,UMBRA,spl-token
BfEZMDss4hnjU7yvoWYXuBAoJ4Lr57CsShod9j6uuzbN,FGEfLadTDxVoFJJmL2JfptgiEnm8h4LLEdJ1o2Pq3K9h,HawkTuah,spl-token
Gh9AcyeZezm5DBvVpG9eSwN1pArtFGNU9q7RzLKkkQ8n,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,BONK2.0,spl-token
MERt85fc5boKw3BW1eYdxonEuJNvXbiMbs6hvheau5K,9u9iZBWqGsp5hXBxkVZtBTuLSGNAG9gEQLgpuVw39ASg,MER,spl-token
